dc,time,wm_changes,firing_count
546,50,31,9
547,129,9,1
548,67,35,12
549,81,24,2
550,374,79,5
551,16,3,0
552,48,31,9
553,8,5,0
554,42,30,8
555,36,18,4
556,379,85,5
557,15,3,0
558,42,26,7
559,5,5,0
560,41,32,7
561,7,7,0
562,107,36,8
563,331,118,8
564,48,3,0
565,48,31,9
566,6,5,0
567,42,31,8
568,20,15,1
569,280,73,2
570,16,3,0
571,47,31,9
572,259,51,4
573,16,3,0
574,46,31,9
575,388,87,5
576,15,3,0
577,40,26,7
578,283,67,3
579,24,3,0
580,356,82,14
581,56,16,3
582,19,10,1
583,83,18,5
584,8,5,0
585,57,36,9
586,24,12,1
587,74,57,9
588,128,24,1
589,80,69,8
590,62,24,9
591,142,54,3
592,76,24,5
593,62,19,4
594,7,5,0
595,57,36,9
596,24,12,1
597,87,61,13
598,28,12,1
599,79,60,10
600,85,17,1
601,85,72,8
602,54,22,7
603,150,58,3
604,103,29,8
605,9,5,0
606,83,52,14
607,26,13,1
608,67,61,6
609,28,13,1
610,60,60,6
611,22,13,1
612,148,109,8
613,25,13,2
614,74,20,5
615,7,5,0
616,57,36,9
617,24,12,1
618,89,61,13
619,28,12,1
620,80,60,10
621,550,101,1
622,102,88,8
623,173,72,40
624,72,23,8
625,64,23,7
626,59,23,6
627,56,23,5
628,52,23,4
629,50,23,3
630,40,23,2
631,299,62,6
632,532,136,55
633,228,42,14
634,10,5,0
635,68,33,10
636,44,19,5
637,183,64,10
638,133,13,1
639,65,14,2
640,162,43,8
641,52,14,2
642,105,19,4
643,9,5,0
644,63,36,9
645,28,12,1
646,95,61,13
647,28,12,1
648,86,60,10
649,292,51,1
650,99,76,8
651,126,49,23
652,61,23,5
653,56,23,4
654,52,23,3
655,43,23,2
656,232,58,3
657,263,69,18
658,140,19,4
659,10,5,0
660,64,36,9
661,28,12,1
662,94,61,13
663,29,12,1
664,88,60,10
665,25,11,1
666,128,83,12
667,259,111,5
668,143,19,4
669,9,5,0
670,69,41,10
671,28,12,1
672,108,61,14
673,41,12,1
674,67,53,7
675,28,12,1
676,88,60,11
677,141,23,1
678,96,78,8
679,62,23,8
680,195,61,3
681,189,38,12
682,176,39,6
683,166,25,6
684,9,5,0
685,60,36,9
686,27,12,1
687,89,61,12
688,28,12,1
689,86,60,10
690,314,59,1
691,96,77,8
692,92,34,14
693,45,23,2
694,229,58,3
695,222,54,13
696,95,28,7
697,10,5,0
698,78,37,12
699,43,22,6
700,732,74,7
701,250,60,11
702,74,15,3
703,104,19,4
704,9,5,0
705,62,36,9
706,27,12,1
707,95,61,13
708,28,12,1
709,87,60,10
710,296,21,1
711,96,76,8
712,123,49,23
713,58,23,5
714,50,23,4
715,44,23,3
716,39,23,2
717,239,58,3
718,293,72,19
719,140,19,4
720,9,5,0
721,62,36,9
722,27,12,1
723,92,61,13
724,29,12,1
725,86,60,10
726,27,11,1
727,125,83,12
728,284,110,5
729,143,19,4
730,9,5,0
731,67,41,10
732,29,12,1
733,90,61,14
734,32,12,1
735,65,53,7
736,28,12,1
737,86,60,11
738,297,34,1
739,103,82,8
740,74,27,12
741,224,61,3
742,226,38,12
743,224,39,6
744,184,25,6
745,10,5,0
746,64,36,9
747,30,12,1
748,92,61,12
749,412,72,1
750,109,78,8
751,115,44,17
752,65,23,7
753,57,23,6
754,53,23,5
755,50,23,4
756,48,23,3
757,41,23,2
758,288,54,3
759,448,98,27
760,327,28,6
761,11,5,0
762,65,36,9
763,31,12,1
764,90,61,12
765,32,12,1
766,84,60,10
767,74,16,1
768,84,71,8
769,50,20,5
770,224,58,3
771,233,38,12
772,222,38,5
773,185,19,4
774,10,5,0
775,63,36,9
776,30,12,1
777,101,61,12
778,31,12,1
779,95,60,10
780,104,20,1
781,96,72,8
782,52,20,5
783,232,58,3
784,237,41,8
785,197,19,4
786,10,5,0
787,73,41,10
788,181,27,1
789,96,73,9
790,64,24,7
791,42,23,2
792,220,50,3
793,342,64,12
794,210,19,4
795,10,5,0
796,76,41,10
797,32,12,1
798,102,61,14
799,35,12,1
800,73,53,7
801,32,12,1
802,94,60,11
803,306,21,1
804,102,81,8
805,122,49,23
806,58,23,5
807,52,23,4
808,46,23,3
809,41,23,2
810,286,61,3
811,449,80,21
812,372,19,4
813,10,5,0
814,67,36,9
815,29,12,1
816,112,61,13
817,30,12,1
818,101,60,10
819,157,14,1
820,91,73,8
821,65,23,8
822,241,58,3
823,266,38,12
824,273,39,6
825,333,25,7
826,11,5,0
827,66,36,9
828,31,12,1
829,92,61,12
830,29,12,1
831,84,60,10
832,68,15,1
833,86,71,8
834,53,20,5
835,256,58,3
836,249,35,12
837,254,46,29
838,486,102,27
839,11,5,0
840,102,38,17
841,88,40,11
842,130,47,23
843,449,83,40
844,17,6,1
845,71,38,14
846,227,51,4
847,176,24,8
848,421,82,19
849,141,26,7
850,353,61,17
851,167,31,11
852,10,5,0
853,118,43,22
854,52,25,7
855,1699,84,9
856,338,53,15
857,186,24,9
858,434,77,37
859,181,26,4
860,123,23,1
861,9,5,0
862,92,52,14
863,29,13,1
864,71,61,6
865,29,13,1
866,66,60,6
867,170,32,1
868,84,68,9
869,81,27,9
870,50,23,3
871,41,23,2
872,227,63,2
873,234,52,13
874,415,75,26
875,139,16,5
876,120,13,1
877,279,40,7
878,31,11,6
879,50,28,7
880,26,13,2
881,34,13,2
882,1217,686,6
883,322,5,1
884,52,31,9
885,139,9,1
886,66,38,11
887,622,94,4
888,637,135,9
889,16,3,0
890,49,31,9
891,6,5,0
892,41,30,8
893,19,14,1
894,287,73,2
895,18,3,0
896,48,31,9
897,327,69,4
898,139,57,8
899,20,3,0
900,46,31,9
901,6,5,0
902,43,30,8
903,26,20,2
904,340,84,6
905,16,3,0
906,48,31,9
907,6,5,0
908,42,30,8
909,20,14,1
910,281,72,2
911,17,3,0
912,48,31,9
913,6,5,0
914,41,30,8
915,85,19,5
916,348,82,5
917,16,3,0
918,42,26,7
919,661,124,7
920,34,3,0
921,255,74,14
922,55,16,3
923,19,10,1
924,83,18,5
925,7,5,0
926,60,36,9
927,34,12,1
928,77,57,9
929,221,42,1
930,86,70,8
931,120,33,13
932,52,23,4
933,44,23,3
934,36,23,2
935,164,54,3
936,157,51,14
937,68,19,4
938,9,5,0
939,58,36,9
940,27,12,1
941,91,61,13
942,28,12,1
943,83,60,10
944,259,51,1
945,101,76,8
946,121,49,23
947,58,23,5
948,52,23,4
949,47,23,3
950,40,23,2
951,219,58,3
952,290,81,26
953,9,5,0
954,73,45,11
955,30,13,1
956,66,61,6
957,28,13,1
958,159,105,8
959,26,13,2
960,117,20,5
961,9,5,0
962,60,36,9
963,28,12,1
964,93,61,13
965,29,12,1
966,86,60,10
967,135,24,1
968,92,73,8
969,62,23,8
970,189,62,6
971,197,42,12
972,179,43,9
973,9,5,0
974,73,45,11
975,30,13,1
976,68,61,6
977,28,13,1
978,167,105,8
979,26,13,2
980,147,26,7
981,9,5,0
982,61,36,9
983,30,12,1
984,91,61,12
985,36,12,1
986,88,60,10
987,77,16,1
988,98,71,8
989,51,20,5
990,193,62,6
991,187,39,12
992,76,19,3
993,10,5,0
994,75,37,12
995,44,22,6
996,566,74,7
997,31,6,1
998,94,52,14
999,38,13,1
1000,74,61,6
1001,30,13,1
1002,68,60,6
1003,562,99,1
1004,96,74,9
1005,132,51,21
1006,82,23,9
1007,75,23,8
1008,71,23,7
1009,69,23,6
1010,65,23,5
1011,63,23,4
1012,60,23,3
1013,48,23,2
1014,273,63,2
1015,631,137,42
1016,190,31,5
1017,234,55,9
1018,74,15,3
1019,148,19,4
1020,9,5,0
1021,65,36,9
1022,30,12,1
1023,94,61,12
1024,30,12,1
1025,90,60,10
1026,87,17,1
1027,89,72,8
1028,61,22,7
1029,204,58,3
1030,299,56,18
1031,220,45,8
1032,68,14,2
1033,129,19,4
1034,11,5,0
1035,64,36,9
1036,30,12,1
1037,95,61,12
1038,28,12,1
1039,88,60,10
1040,340,58,1
1041,97,77,8
1042,95,33,13
1043,47,23,2
1044,253,58,3
1045,304,65,13
1046,198,19,4
1047,9,5,0
1048,72,36,9
1049,48,12,1
1050,158,61,13
1051,48,12,1
1052,93,60,10
1053,319,21,1
1054,103,76,8
1055,140,49,23
1056,64,23,5
1057,55,23,4
1058,50,23,3
1059,43,23,2
1060,284,58,3
1061,381,77,20
1062,251,19,4
1063,11,5,0
1064,68,36,9
1065,31,12,1
1066,104,61,13
1067,30,12,1
1068,99,60,10
1069,268,34,1
1070,109,77,8
1071,84,27,12
1072,272,58,3
1073,336,47,19
1074,331,48,6
1075,329,25,6
1076,12,5,0
1077,90,36,9
1078,41,12,1
1079,128,61,12
1080,39,12,1
1081,128,60,10
1082,106,14,1
1083,115,71,8
1084,61,20,5
1085,364,58,3
1086,312,44,19
1087,261,37,23
1088,587,90,26
1089,12,5,0
1090,150,42,19
